Queueish value, weakly queueish, normal
0, 26313, 7596
100, 10703, 5260
200, 9552, 5020
300, 9219, 5005
400, 9181, 5001
500, 9205, 5006
600, 9166, 5061
700, 9206, 5063
800, 9220, 5028
900, 9190, 5018
1000, 9197, 5029
1100, 9190, 5028
1200, 9209, 5030
1300, 9338, 5035
1400, 9208, 5038
1500, 9200, 5037
1600, 9200, 5037
1700, 9203, 5042
1800, 9270, 5060
1900, 9282, 5054
2000, 9285, 5066
2100, 9285, 5062
2200, 9280, 5061
2300, 9292, 5066
2400, 9415, 5068
2500, 9298, 5067
2600, 9309, 5074
2700, 9310, 5084
2800, 9317, 5087
2900, 9328, 5201
3000, 9327, 5088
3100, 9329, 5090
3200, 9328, 5102
3300, 9337, 5100
3400, 9391, 5123
3500, 9335, 5095
3600, 9351, 5100
3700, 9331, 5101
3800, 9345, 5106
3900, 9334, 5110
4000, 9350, 5119
4100, 9346, 5118
4200, 9345, 5117
4300, 9356, 5119
4400, 9358, 5122
4500, 9355, 5129
4600, 9365, 5136
4700, 9366, 5144
4800, 9373, 5134
4900, 9369, 5141
5000, 9423, 5158
5100, 9394, 5149
5200, 9391, 5154
5300, 9393, 5384
5400, 9398, 5156
5500, 9424, 5159
5600, 9411, 5182
5700, 9965, 5197
5800, 10085, 5478
5900, 9724, 5424
6000, 9663, 5402
6100, 9866, 5212
6200, 9908, 5404
6300, 9790, 5481
6400, 9720, 5465
6500, 10202, 5362
6600, 9777, 5881
6700, 11015, 5271
6800, 10187, 5621
6900, 9512, 5237
7000, 9580, 5252
7100, 9499, 5318
7200, 9540, 5249
7300, 9511, 5277
7400, 9552, 5240
7500, 9484, 5235
7600, 9476, 5232
7700, 9778, 5247
7800, 10059, 5539
7900, 9767, 5533
8000, 10201, 5545
8100, 9842, 5850
8200, 10141, 5532
8300, 9806, 5548
8400, 10108, 5547
8500, 9859, 5588
8600, 10127, 5564
8700, 9816, 5304
8800, 9848, 5591
8900, 9504, 5321
9000, 9504, 5299
9100, 9506, 5300
9200, 9511, 5309
9300, 9518, 5313
9400, 9919, 5320
9500, 9520, 5593
9600, 9828, 5352
9700, 9857, 5611
9800, 10118, 5592
9900, 10086, 5350
10000, 9839, 5666
10100, 9910, 5708
10200, 19512, 8473
